DateTime,Entries,UniqueIPs
1508663719,10629,10629
1508664919,10567,10567
1508666687,10512,10512
1508667625,10552,10552
1508668821,10481,10481
1508670629,10478,10478
1508671822,10439,10439
1508672970,10459,10459
1508675155,10443,10443
1508676024,10378,10378
1508676886,10403,10403
1508677826,10375,10375
1508678719,10410,10410
1508679618,10350,10350
1508681345,10345,10345
1508682509,10393,10393
1508683518,10309,10309
1508684346,10265,10265
1508685319,10294,10294
1508686221,10238,10238
1508686939,10251,10251
1508688626,10243,10243
1508689449,10278,10278
1508690419,10210,10210
1508690538,10218,10218
1508691698,10204,10204
1508692529,10235,10235
1508693423,10200,10200
1508694321,10213,10213
1508696062,10179,10179
1508697022,10111,10111
1508697927,10124,10124
1508699430,10132,10132
1508700499,10170,10170
1508701523,10102,10102
1508703022,10107,10107
1508704097,10148,10148
1508705021,10083,10083
1508706628,10084,10084
1508707673,10124,10124
1508708541,10072,10072
1508709602,10056,10056
1508710521,10094,10094
1508711422,10052,10052
1508712835,10079,10079
1508713766,10065,10065
1508714671,10123,10123
1508715627,10047,10047
1508715742,10051,10051
1508717429,10055,10055
1508719469,10045,10045
1508721031,10148,10148
1508721919,10244,10244
1508722943,10204,10204
1508723778,10268,10268
1508724625,10267,10267
1508725594,10332,10332
1508726719,10306,10306
1508729487,10283,10283
1508731829,10281,10281
1508732896,10338,10338
1508733919,10273,10273
1508734578,10294,10294
1508735430,10285,10285
1508735664,10298,10298
1508736625,10255,10255
1508737442,10296,10296
1508738177,10322,10322
1508739025,10296,10296
1508740221,10269,10269
1508741088,10281,10281
1508742122,10280,10280
1508743066,10318,10318
1508743995,10279,10279
1508744544,10297,10297
1508746459,10291,10291
1508747401,10228,10228
1508748980,10262,10262
1508749825,10217,10217
1508750897,10254,10254
1508751917,10227,10227
1508752578,10250,10250
1508753428,10187,10187
1508754502,10227,10227
1508755351,10194,10194
1508757028,10178,10178
1508758831,10153,10153
1508759716,10187,10187
1508760551,10156,10156
1508762118,10142,10142
1508763319,10180,10180
1508764224,10162,10162
1508765117,10215,10215
1508766018,10165,10165
1508767260,10160,10160
1508768130,10196,10196
1508769023,10175,10175
1508769917,10211,10211
1508771411,10178,10178
1508772541,10235,10235
1508773339,10174,10174
1508774176,10202,10202
1508775028,10166,10166
1508776096,10211,10211
1508776998,10184,10184
1508777870,10264,10264
1508778919,10303,10303
1508779842,10297,10297
1508780542,10311,10311
1508782457,10363,10363
1508783421,10353,10353
1508784317,10383,10383
1508786057,10436,10436
1508787626,10422,10422
1508788576,10463,10463
1508789427,10463,10463
1508789656,10471,10471
1508790619,10455,10455
1508791522,10458,10458
1508792182,10495,10495
1508793916,10502,10502
1508794096,10508,10508
1508795118,10461,10461
1508796273,10463,10463
1508797223,10501,10501
1508798255,10470,10470
1508798539,10459,10459
1508799846,10464,10464
1508800826,10501,10501
1508802018,10481,10481
1508804423,10525,10525
1508805631,10500,10500
1508807144,10504,10504
1508808024,10547,10547
1508808496,10562,10562
1508809349,10516,10516
1508810180,10551,10551
1508811029,10542,10542
1508813128,10531,10531
1508814176,10522,10522
1508815226,10559,10559
1508816123,10536,10536
1508816544,10542,10542
1508817703,10538,10538
1508818521,10577,10577
1508819427,10553,10553
1508820148,10564,10564
1508821829,10595,10595
1508823019,10589,10589
1508823828,10607,10607
1508824810,10594,10594
1508825723,10634,10634
1508826629,10604,10604
1508827525,10621,10621
1508829261,10634,10634
1508830137,10665,10665
1508831721,10612,10612
1508832625,10608,10608
1508833836,10593,10593
1508834541,10609,10609
1508835669,10605,10605
1508836521,10636,10636
1508837296,10666,10666
1508838315,10624,10624
1508839318,10614,10614
1508840060,10643,10643
1508841030,10609,10609
1508841923,10645,10645
1508843266,10628,10628
1508844158,10662,10662
1508845228,10651,10651
1508846118,10683,10683
1508847028,10646,10646
1508848096,10697,10697
1508848940,10635,10635
1508850261,10624,10624
1508851223,10675,10675
1508852420,10630,10630
1508853607,10650,10650
1508854518,10684,10684
1508855297,10724,10724
1508856320,10613,10613
1508856977,10644,10644
1508857824,10604,10604
1508860509,10606,10606
1508861430,10579,10579
1508862621,10573,10573
1508863343,10585,10585
1508865025,10600,10600
1508866100,10640,10640
1508867119,10576,10576
1508867778,10608,10608
1508868628,10581,10581
1508870423,10566,10566
1508872520,10623,10623
1508873421,10596,10596
1508874317,10605,10605
1508876896,10657,10657
1508877920,10590,10590
1508878578,10618,10618
1508879431,10597,10597
1508880600,10558,10558
1508882329,10541,10541
1508883314,10570,10570
