DateTime,Entries,UniqueIPs
1508646979,8391,8391
1508647696,8369,8369
1508648676,8382,8382
1508649374,8364,8364
1508650103,8305,8305
1508651072,8366,8366
1508652041,8390,8390
1508653004,8390,8390
1508653957,8384,8384
1508654906,8399,8399
1508655610,8413,8413
1508656349,8405,8405
1508657051,8415,8415
1508657779,8403,8403
1508658491,8431,8431
1508659228,8433,8433
1508660197,8436,8436
1508660888,8429,8429
1508661632,8447,8447
1508662339,8433,8433
1508663061,8431,8431
1508663776,8457,8457
1508664508,8485,8485
1508665210,8472,8472
1508665933,8470,8470
1508666655,8498,8498
1508667385,8499,8499
1508668356,8513,8513
1508669313,8465,8465
1508670267,8441,8441
1508670989,8483,8483
1508671703,8488,8488
1508672409,8488,8488
1508673135,8485,8485
1508673868,8503,8503
1508674587,8490,8490
1508675300,8501,8501
1508676020,8500,8500
1508676727,8499,8499
1508678457,8506,8506
1508679391,8558,8558
1508680091,8561,8561
1508680845,8554,8554
1508681541,8549,8549
1508682259,8532,8532
1508683225,8555,8555
1508683928,8560,8560
1508684667,8538,8538
1508685387,8573,8573
1508686107,8597,8597
1508687057,8584,8584
1508687783,8591,8591
1508688507,8601,8601
1508689209,8597,8597
1508689944,8585,8585
1508690910,8594,8594
1508691616,8615,8615
1508692355,8599,8599
1508693051,8605,8605
1508693797,8603,8603
1508694507,8610,8610
1508695239,8590,8590
1508696197,8591,8591
1508696886,8594,8594
1508697638,8587,8587
1508698588,8607,8607
1508700035,8543,8543
1508700744,8603,8603
1508701468,8580,8580
1508702501,8579,8579
1508703141,8518,8518
1508703856,8558,8558
1508704569,8557,8557
1508705298,8556,8556
1508706053,8548,8548
1508706759,8556,8556
1508707449,8531,8531
1508708173,8442,8442
1508709152,8515,8515
1508709867,8511,8511
1508710581,8523,8523
1508711491,8521,8521
1508712250,8503,8503
1508712975,8506,8506
1508713974,8487,8487
1508714896,8462,8462
1508715623,8446,8446
1508716341,8454,8454
1508717062,8458,8458
1508718031,8441,8441
1508718996,8467,8467
1508719953,8466,8466
1508720659,8486,8486
1508721392,8484,8484
1508722357,8464,8464
1508723056,8451,8451
1508723775,8457,8457
1508724754,8442,8442
1508725451,8430,8430
1508726194,8436,8436
1508726898,8427,8427
1508727634,8428,8428
1508728340,8427,8427
1508729051,8421,8421
1508729772,8425,8425
1508730504,8433,8433
1508731232,8437,8437
1508731932,8427,8427
1508732661,8437,8437
1508733384,8437,8437
1508734105,8433,8433
1508734813,8431,8431
1508735540,8428,8428
1508736250,8443,8443
1508736983,8399,8399
1508737715,8422,8422
1508738438,8455,8455
1508739142,8430,8430
1508739863,8466,8466
1508740570,8462,8462
1508741305,8429,8429
1508742282,8461,8461
1508743235,8445,8445
1508743945,8447,8447
1508744653,8460,8460
1508745647,8424,8424
1508746340,8466,8466
1508747069,8472,8472
1508748029,8480,8480
1508748739,8487,8487
1508749470,8500,8500
1508750185,8514,8514
1508750907,8496,8496
1508751609,8497,8497
1508752330,8508,8508
1508753327,8542,8542
1508754012,8590,8590
1508754754,8588,8588
1508756461,8594,8594
1508757413,8603,8603
1508758093,8611,8611
1508758813,8618,8618
1508759529,8607,8607
1508760275,8599,8599
1508760983,8613,8613
1508761701,8621,8621
1508762414,8580,8580
1508763391,8579,8579
1508764356,8576,8576
1508765062,8569,8569
1508765772,8582,8582
1508766494,8595,8595
1508767234,8591,8591
1508767942,8598,8598
1508768656,8610,8610
1508769373,8611,8611
1508770098,8628,8628
1508770809,8621,8621
1508771544,8625,8625
1508772251,8645,8645
1508773036,8652,8652
1508773695,8640,8640
1508774431,8622,8622
1508775149,8645,8645
1508775867,8634,8634
1508776570,8652,8652
1508777294,8657,8657
1508778033,8672,8672
1508778758,8663,8663
1508779452,8642,8642
1508780197,8657,8657
1508780895,8680,8680
1508781638,8697,8697
1508782342,8678,8678
1508783054,8623,8623
1508783770,8695,8695
1508784511,8697,8697
1508785210,8692,8692
1508785947,8686,8686
1508786673,8692,8692
1508787377,8702,8702
1508788361,8688,8688
1508789316,8692,8692
1508790514,8687,8687
1508791232,8698,8698
1508792192,8695,8695
1508793160,8714,8714
1508793852,8686,8686
1508794476,8711,8711
1508795546,8694,8694
1508796266,8681,8681
1508797292,8642,8642
1508798200,8673,8673
1508798895,8653,8653
1508799624,8667,8667
1508800338,8668,8668
1508801070,8652,8652
1508802035,8649,8649
1508802739,8658,8658
1508803462,8659,8659
1508804225,8641,8641
1508805147,8647,8647
1508806111,8647,8647
1508807320,8656,8656
1508808299,8630,8630
1508809230,8630,8630
1508809940,8640,8640
1508810901,8626,8626
1508811624,8618,8618
1508812344,8616,8616
1508813053,8633,8633
1508813770,8635,8635
1508814746,8652,8652
1508815455,8656,8656
1508816191,8654,8654
1508816901,8642,8642
1508817635,8598,8598
1508818343,8648,8648
1508819057,8647,8647
1508819772,8661,8661
1508820498,8630,8630
1508821226,8658,8658
1508821954,8636,8636
1508822650,8644,8644
1508823369,8654,8654
1508824098,8656,8656
1508824826,8627,8627
1508825544,8667,8667
1508826495,8663,8663
1508827210,8651,8651
1508827935,8658,8658
1508829651,8651,8651
1508830596,8646,8646
1508831306,8651,8651
1508832054,8649,8649
1508832996,8622,8622
1508833955,8654,8654
1508834650,8578,8578
1508835382,8519,8519
1508836097,8541,8541
1508836814,8611,8611
1508837533,8601,8601
1508838259,8627,8627
1508838970,8640,8640
1508839718,8650,8650
1508840422,8664,8664
1508841152,8654,8654
1508842105,8658,8658
1508842817,8610,8610
1508843547,8635,8635
1508844257,8614,8614
1508844978,8654,8654
1508845974,8649,8649
1508846669,8656,8656
1508847383,8655,8655
1508848357,8659,8659
1508849305,8635,8635
1508850025,8644,8644
1508850747,8644,8644
1508851466,8657,8657
1508852436,8652,8652
1508853149,8598,8598
1508853886,8649,8649
1508854575,8657,8657
1508855292,8654,8654
1508856022,8657,8657
1508856733,8669,8669
1508857730,8665,8665
1508858411,8671,8671
1508859138,8667,8667
1508859863,8668,8668
1508860571,8688,8688
1508861658,8681,8681
1508862587,8693,8693
1508863325,8839,8839
1508863949,8919,8919
